video_id,subject,scene,quality,relevance,verified,video_length,action_id,action_index,action,action_name,object_id,object_name,verb_id,verb_name,start_seconds,end_seconds,duration_seconds,clip_start_seconds,clip_end_seconds,clip_duration_seconds,objects,descriptions
8BG1T,Z68L,Recreation room / Man cave,7,7,Yes,45.46,c106,106,drinking_from_a_cup_glass_bottle,Drinking from a cup/glass/bottle,o010,cup/glass/bottle,v004,drink,7.6,43.7,36.1,5.6,45.46,39.86,cup;sofa;television;towel,The person walks to the sofa and sits down. They drink out of a glass and laugh at the television. The person wipes their face with a towel.
OINMN,X3DN,Closet / Walk-in closet / Spear closet,7,7,Yes,45.25,c019,19,talking_on_a_phone_camera,Talking on a phone/camera,o025,phone/camera,v024,talk,0.0,46.0,46.0,0.0,45.25,45.25,a person walks around;book;box;closet/cabinet;door;phone;shelf,{}
024PD,G6WD,Dining room,7,7,Yes,59.04,c015,15,holding_a_phone_camera,Holding a phone/camera,o025,phone/camera,v008,hold,0.0,60.0,60.0,0.0,59.04,59.04,book;phone;table,A person flips through a magazine while talking on the phone and taking pictures.
EHTB6,UTMU,Bathroom,7,7,Yes,41.0,c016,16,playing_with_a_phone_camera,Playing with a phone/camera,o025,phone/camera,v014,play,0.0,42.0,42.0,0.0,41.0,41.0,blanket;camera;floor;phone,"A girl is laying on a blanket on the floor, looking at and playing with her camera."
B5UXP,X3DN,Pantry,7,7,Yes,53.0,c156,156,someone_is_eating_something,Someone is eating something,o016,food,v005,eat,0.0,54.0,54.0,0.0,53.0,53.0,box;food,A person is eating food from a cereal box.
P0DXX,0RNU,Garage,7,7,Yes,52.0,c151,151,someone_is_going_from_standing_to_sitting,Someone is going from standing to sitting,o000,None,v018,sit,8.2,31.4,23.2,6.2,33.4,27.2,book;box;clothes;floor;trash,a person puts some trash in a box and sets it next to a tv;A person picking up stuff and putting it in a card board box.The person picks up the box and sits by a television .The person turns and walks away .
FVPMC,3531,Pantry,7,7,Yes,35.25,c154,154,someone_is_standing_up_from_somewhere,Someone is standing up from somewhere,o000,None,v022,stand,0.0,36.0,36.0,0.0,35.25,35.25,broom;cabinet;dish;door;food;pantry / closet;sandwich;shelf,"A person holds a broom and opens the doors of the cabinet. The person then puts the broom in the cabinet on top of dishes, closes the cabinet doors, picks up a sandwich from a shelf, and eats the sandwich.;This person is standing in their kitchen, opens up closet / pantry, places broom in pantry, and then picks up a dish with food and starts eating."
CY2J2,G6WD,Living room,7,7,Yes,50.83,c059,59,sitting_in_a_chair,Sitting in a chair,o007,chair,v018,sit,0.0,52.0,52.0,0.0,50.83,50.83,bag;chair;floor;vacuum,A person is sitting on the floor and taking apart a vacuum cleaner. The person is talking to another person as they do this.
BGX4T,HR43,Laundry room,7,7,Yes,23.42,c097,97,walking_through_a_doorway,Walking through a doorway,o014,doorway,v029,walk,0.0,24.0,24.0,0.0,23.42,23.42,door;vacuum,A person is holding a vacuum cleaner. A person then closes the door. A person then leaves the room
S1BYH,1TZV,Garage,7,7,Yes,28.04,c150,150,someone_is_running_somewhere,Someone is running somewhere,o000,None,v017,run,0.0,29.0,29.0,0.0,28.04,28.04,box,A person runs back and fourth in their garage while holding a box.
4FXUI,D0RU,Home Office / Study (A room in a house used for work),7,7,Yes,44.25,c052,52,working_playing_on_a_laptop,Working/Playing on a laptop,o020,laptop,v014,play,0.0,41.2,41.2,0.0,43.2,43.2,chair;desk;door;laptop;table,"A person is sitting at a desk typing on a laptop.  The person scratches their head, types more, closes the computer and walks out of the room.;A person sitting at a lap top and desk .The person is working on the computer.The person gets up and halfway closes the top on the computer.The person proceeds to leave the room"
ZCH1J,DBGJ,Dining room,7,7,Yes,44.58,c051,51,watching_a_laptop_or_something_on_a_laptop,Watching a laptop or something on a laptop,o020,laptop,v031,watch,0.0,46.0,46.0,0.0,44.58,44.58,bag;food;laptop;refrigerator,A person is sitting down and opening a bag of chips. They have a laptop on their lap that they are looking at while they eat.
JUF24,3VLX,Kitchen,7,7,Yes,37.08,c147,147,someone_is_cooking_something,Someone is cooking something,o016,food,v002,cook,0.0,38.0,38.0,0.0,37.08,37.08,bag;food;spoon;stove,A person turns on the stove and cooks some food. The person takes food out of a bag and puts in the pot. The person stirs the pot.
6TNP4,EA2K,Kitchen,7,7,Yes,44.58,c107,107,holding_a_cup_glass_bottle_of_something,Holding a cup/glass/bottle of something,o010,cup/glass/bottle,v008,hold,2.9,46.0,43.1,0.9,44.58,43.68,bottle;cup;floor;glass;refrigerator;shoe,A person is sitting on the floor while touching and cleaning some shoes. Another person is pouring a beverage from a refrigerator.
PURYC,ID9V,Kitchen,7,7,Yes,33.71,c110,110,taking_a_cup_glass_bottle_from_somewhere,Taking a cup/glass/bottle from somewhere,o010,cup/glass/bottle,v023,take,1.2,35.0,33.8,0.0,33.71,33.71,bag;cup/glass/bottle;door;food;groceries;refrigerator,The person opened the refrigerator and removed several groceries.;The person was getting things out of the refrigerator.  It looked like the person was making a meal. The person took out several things to eat.
1Y09V,ZAWX,Other,7,7,Yes,30.79,c109,109,putting_a_cup_glass_bottle_somewhere,Putting a cup/glass/bottle somewhere,o010,cup/glass/bottle,v016,put,0.0,32.0,32.0,0.0,30.79,30.79,chair;coffee;cup;dish;food;glass,A person is standing and drinking coffee from a cup. They put the cup on a chair and leave.
HG8G1,T7C3,Dining room,7,7,Yes,36.83,c065,65,eating_a_sandwich,Eating a sandwich,o029,sandwich,v005,eat,0.0,38.0,38.0,0.0,36.83,36.83,floor;food;sandwich,A person lying on a floor .The person is eating a sandwich in a doorway between two rooms eating this sandwich and smiling .
ZP5TG,5LWB,Living room,7,7,Yes,42.46,c123,123,sitting_on_sofa_couch,Sitting on sofa/couch,o032,sofa/couch,v018,sit,0.0,43.0,43.0,0.0,42.46,42.46,chair;couch;dish;food;futon;table,"2 people are sitting in the living room talking, 1 of them is eating food.;The people are sitting and talking to each other. One person is eating."
L57L2,P6LJ,Entryway (A hall that is generally located at the entrance of a house),7,7,Yes,124.04,c125,125,sitting_on_the_floor,Sitting on the floor,o015,floor,v018,sit,24.1,121.7,97.6,22.1,123.7,101.6,bag;box;clothes;floor;tape,A person is picking up a bag and putting it in a box then they close the box and seal the box with tape.
