clip_id,video_id,action_id,action_name,canonical_action,clip_path,stage2_dir,vlm_dir,comparison_path,fused_path,stage2_status,vlm_status,fused_status,stage2_event_count,vlm_present,error
NDH24_c052_t0.00_36.38,NDH24,c052,Working/Playing on a laptop,using_laptop,data/charades/clips_480p/NDH24_c052_t0.00_36.38.mp4,outputs/charades_clip_batch_50_part30/NDH24_c052_t0.00_36.38/stage2,outputs/charades_clip_batch_50_part30/NDH24_c052_t0.00_36.38/vlm_review,outputs/charades_clip_batch_50_part30/NDH24_c052_t0.00_36.38/comparison.json,outputs/charades_clip_batch_50_part30/NDH24_c052_t0.00_36.38/fused_events.json,ok,completed,ok,0,True,
YVH4J_c051_t0.00_38.30,YVH4J,c051,Watching a laptop or something on a laptop,watching_laptop,data/charades/clips_480p/YVH4J_c051_t0.00_38.30.mp4,outputs/charades_clip_batch_50_part30/YVH4J_c051_t0.00_38.30/stage2,outputs/charades_clip_batch_50_part30/YVH4J_c051_t0.00_38.30/vlm_review,outputs/charades_clip_batch_50_part30/YVH4J_c051_t0.00_38.30/comparison.json,outputs/charades_clip_batch_50_part30/YVH4J_c051_t0.00_38.30/fused_events.json,ok,completed,ok,0,True,
BPZE3_c147_t0.00_35.12,BPZE3,c147,Someone is cooking something,cooking,data/charades/clips_480p/BPZE3_c147_t0.00_35.12.mp4,outputs/charades_clip_batch_50_part30/BPZE3_c147_t0.00_35.12/stage2,outputs/charades_clip_batch_50_part30/BPZE3_c147_t0.00_35.12/vlm_review,outputs/charades_clip_batch_50_part30/BPZE3_c147_t0.00_35.12/comparison.json,outputs/charades_clip_batch_50_part30/BPZE3_c147_t0.00_35.12/fused_events.json,ok,completed,ok,0,True,
GY9MZ_c107_t0.00_35.17,GY9MZ,c107,Holding a cup/glass/bottle of something,holding_drink_container,data/charades/clips_480p/GY9MZ_c107_t0.00_35.17.mp4,outputs/charades_clip_batch_50_part30/GY9MZ_c107_t0.00_35.17/stage2,outputs/charades_clip_batch_50_part30/GY9MZ_c107_t0.00_35.17/vlm_review,outputs/charades_clip_batch_50_part30/GY9MZ_c107_t0.00_35.17/comparison.json,outputs/charades_clip_batch_50_part30/GY9MZ_c107_t0.00_35.17/fused_events.json,ok,completed,ok,0,True,
K8AUX_c110_t0.00_29.54,K8AUX,c110,Taking a cup/glass/bottle from somewhere,taking_drink_container,data/charades/clips_480p/K8AUX_c110_t0.00_29.54.mp4,outputs/charades_clip_batch_50_part30/K8AUX_c110_t0.00_29.54/stage2,outputs/charades_clip_batch_50_part30/K8AUX_c110_t0.00_29.54/vlm_review,outputs/charades_clip_batch_50_part30/K8AUX_c110_t0.00_29.54/comparison.json,outputs/charades_clip_batch_50_part30/K8AUX_c110_t0.00_29.54/fused_events.json,ok,completed,ok,1,True,
PCXYE_c109_t0.00_28.40,PCXYE,c109,Putting a cup/glass/bottle somewhere,putting_drink_container,data/charades/clips_480p/PCXYE_c109_t0.00_28.40.mp4,outputs/charades_clip_batch_50_part30/PCXYE_c109_t0.00_28.40/stage2,outputs/charades_clip_batch_50_part30/PCXYE_c109_t0.00_28.40/vlm_review,outputs/charades_clip_batch_50_part30/PCXYE_c109_t0.00_28.40/comparison.json,outputs/charades_clip_batch_50_part30/PCXYE_c109_t0.00_28.40/fused_events.json,ok,completed,ok,0,True,
R28EY_c065_t0.00_30.67,R28EY,c065,Eating a sandwich,eating,data/charades/clips_480p/R28EY_c065_t0.00_30.67.mp4,outputs/charades_clip_batch_50_part30/R28EY_c065_t0.00_30.67/stage2,outputs/charades_clip_batch_50_part30/R28EY_c065_t0.00_30.67/vlm_review,outputs/charades_clip_batch_50_part30/R28EY_c065_t0.00_30.67/comparison.json,outputs/charades_clip_batch_50_part30/R28EY_c065_t0.00_30.67/fused_events.json,ok,completed,ok,0,True,
VSFCR_c123_t0.00_37.88,VSFCR,c123,Sitting on sofa/couch,sitting_on_sofa,data/charades/clips_480p/VSFCR_c123_t0.00_37.88.mp4,outputs/charades_clip_batch_50_part30/VSFCR_c123_t0.00_37.88/stage2,outputs/charades_clip_batch_50_part30/VSFCR_c123_t0.00_37.88/vlm_review,outputs/charades_clip_batch_50_part30/VSFCR_c123_t0.00_37.88/comparison.json,outputs/charades_clip_batch_50_part30/VSFCR_c123_t0.00_37.88/fused_events.json,ok,completed,ok,5,True,
24B2K_c125_t6.50_51.50,24B2K,c125,Sitting on the floor,sitting_on_floor,data/charades/clips_480p/24B2K_c125_t6.50_51.50.mp4,outputs/charades_clip_batch_50_part30/24B2K_c125_t6.50_51.50/stage2,outputs/charades_clip_batch_50_part30/24B2K_c125_t6.50_51.50/vlm_review,outputs/charades_clip_batch_50_part30/24B2K_c125_t6.50_51.50/comparison.json,outputs/charades_clip_batch_50_part30/24B2K_c125_t6.50_51.50/fused_events.json,ok,completed,ok,0,False,
1BUFQ_c132_t0.00_40.25,1BUFQ,c132,Watching television,watching_tv,data/charades/clips_480p/1BUFQ_c132_t0.00_40.25.mp4,outputs/charades_clip_batch_50_part30/1BUFQ_c132_t0.00_40.25/stage2,outputs/charades_clip_batch_50_part30/1BUFQ_c132_t0.00_40.25/vlm_review,outputs/charades_clip_batch_50_part30/1BUFQ_c132_t0.00_40.25/comparison.json,outputs/charades_clip_batch_50_part30/1BUFQ_c132_t0.00_40.25/fused_events.json,ok,completed,ok,0,True,
